University,City,State,Application fee,Tution fee,Living Expences,Part time jobs,GRE,GMAT,IELTS,TOEFL,PTE,Duolingo,GPA,Programs,CS,IT,BA,DS,CE,DE,IS,AI,CSEC,ECS,ML,SE,IM
George Washington University,Washington,DC,$75 ,"$30,000 ",80,68,310,,6,80,,,3.0/4,"CS,DS,BA,CE,CSEC","$30,000 ",,"$54,000 ","$28,000 ","$29,000 ",,,,"$33,330 ",,,,
University of Denver,Denver,CO,$75 ,"$35,000 ",90,70,,,6.5,80,,,3.0/4,"CS,DS,BA","$36,500 ",,"$65,000 ","$36,000 ",,,,,,,,,
SUNY Buffalo,Buffalo,NY,$70 ,"$25,000 ",76,75,305,,6.5,88,,,3.0/4,"CS,IS,DS","$20,000 ",,,"$29,000 ",,,"$40,000 ",,,,,,
University of Connecticut,Storrs,CT,$75 ,"$26,000 ",79,65,295,500,6.5,79,54,,3.0/4,"CS,BA","$40,000 ",,"$21,000 ",,,,,,,,,,
Virginia Tech,Blacksburg,VA,$75 ,"$27,000 ",68,75,300,550,6.5,80,,,3.0/4,"CE,ECS",,,,,"$24,000 ",,,,,"$24,000 ",,,
California State University,Fullerton,CA,$70 ,"$25,000 ",80,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Maryland--Baltimore County,Baltimore,MD,$75 ,"$25,000 ",68,70,300,,6.5,80,,,3.0/4,"CS,DS,IS,SE","$20,000 ",,,"$27,000 ",,,"$23,000 ",,,,,"$21,000 ",
University of Oregon,Eugene,OR,$70 ,"$34,000 ",79,60,310,610,6.5,88,,120,3.0/4,"CS,BA","$47,000 ",,"$29,000 ",,,,,,,,,,
Washington State University,Pullman,WA,$70 ,"$26,000 ",72,55,300,,6.5,,,,3.0/4,CS,"$20,780 ",,,,,,,,,,,,
Clemson University,Clemson,SC,$80 ,"$28,000 ",82,65,300,,6.5,,,,3.0/4,"CS,DS","$22,500 ",,,"$27,800 ",,,,,,,,,
Colorado School of Mines,Golden,CO,$95 ,"$44,500 ",82,60,305,640,6.5,79,,105,3.0/4,CS,"$44,500 ",,,,,,,,,,,,
Florida State University,Tallahassee,FL,$30 ,"$26,000 ",67,73,300,,6.5,,,,3.0/4,"CS,DS,BA","$22,300 ",,"$36,500 ","$22,400 ",,,,,,,,,
Georgetown University,Washington,DC,$75 ,"$40,000 ",84,69,320,650,7,100,68,,3.0/4,"CS,DS","$35,550 ",,,"$53,650 ",,,,,,,,,
Stevens Institute of Technology,Hoboken,NJ,$70 ,"$45,000 ",89,70,300,,6.5,,,,3.0/4,"CS,IS,DS,CSEC,ML,AI","$39,600 ",,,"$43,500 ",,,"$31,750 ","$25,400 ","$51,450 ",,"$43,750 ",,
California State University,Long Beach,CA,$70 ,"$25,000 ",85,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Delaware,Newark,DE,$75 ,"$21,000 ",66,66,300,550,6.5,80,,,3.0/4,"CS,DS,BA","$40,000 ",,"$30,000 ","$16,700 ",,,,,,,,,
George Mason University,Fairfax,VA,$80 ,"$37,000 ",76,72,300,,6.5,88,59,,3.0/4,"CS,BA,IS,DS","$29,500 ",,"$60,000 ","$22,500 ",,,"$29,800 ",,,,,,
University of Nebraska--Lincoln,Lincoln,NE,$50 ,"$25,000 ",64,50,308,,6.5,90,,,3.0/4,CS,"$20,000 ",,,,,,,,,,,,
Auburn University,Auburn,AL,$70 ,"$40,000 ",79,65,300,,6.5,80,,,3.0/4,CS,"$40,000 ",,,,,,,,,,,,
Colorado State University,Fort Collins,CO,$70 ,"$33,000 ",75,69,300,,6.5,,,,3.0/4,"CS,IS","$38,000 ",,,,,,"$33,000 ",,,,,,
Lehigh University,Bethlehem,PA,$75 ,"$30,000 ",83,59,310,660,7,90,,110,3.0/4,"CS,CE","$30,000 ",,,,"$30,000 ",,,,,,,,
Illinois State University,Normal,IL,$80 ,"$22,000 ",64,55,300,,6.5,,,,3.0/4,"CS,IS","$20,000 ",,,,,,"$15,000 ",,,,,,
New Jersey Institute of Technology,Newark,NJ,$75 ,"$33,000 ",76,64,296,,6,79,,,3.0/4,"CS,DS,IS","$25,500 ",,,"$34,600 ",,,"$25,760 ",,,,,,
Saint Louis University,St. Louis,MO,$70 ,"$20,000 ",72,70,300,590,6.5,80,,,3.0/4,"CS,BA,DS","$21,000 ",,"$11,000 ","$19,000 ",,,,,,,,,
University of Georgia,Athens,GA,$100 ,"$20,000 ",67,65,,,6.5,80,,105,3.0/4,"CS,AI,BA","$16,000 ",,"$32,400 ",,,,,"$31,200 ",,,,,
University of Kansas,Lawrence,KS,$60 ,"$32,000 ",67,50,295,540,6.5,80,,,3.0/4,"CS,CE","$29,800 ",,,,"$14,500 ",,,,,,,,
University of Tennessee--Knoxville,Knoxville,TN,$60 ,"$30,000 ",65,50,294,500,6.5,79,54,,3.0/4,"CS,BA,CE","$20,200 ",,"$53,500 ",,"$22,200 ",,,,,,,,
Baylor University,Arlington,TX,$50 ,"$40,000 ",84,78,300,,7,80,,125,3.0/4,"CS,IS","$41,200 ",,,,,,"$54,300 ",,,,,,
University of Massachusetts Amherst,Worcester,MA,$75 ,"$30,000 ",76,67,300,,6.5,79,,,3.0/4,"CS,ECS","$25,400 ",,,,,,,,,"$21,300 ",,,
Rochester Institute of Technology,Binghamton,NY,$65 ,"$40,000 ",87,78,300,550,6.5,79,58,,3.0/4,"CS,BA,SE","$54,000 ",,"$67,000 ",,,,,,,,,"$40,700 ",
Connecticut College,New London,CT,$70 ,"$35,000 ",72,50,300,,6.5,,,,3.0/4,CS,"$35,000 ",,,,,,,,,,,,
